NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Quantity of Blades,Quantity,Measurement,Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped
Blades,Vineyard Wind 1,13,2024-08-11,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, ,309204 KG,5084000,Parsed: 9812,LM 107. 0 P2 W 30MM STIFF PLT GE WIND BLADE HTS 9812. 90. 90 COO FRANCE WEIGHT 51534 KG
Blades,Vineyard Wind 1,13,2024-08-29,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,309204 K,2897000,Classified: 8412.90,LM 107. 0 P2 W/ 30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-08-29,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929871 CM,229800 K,17094000,Classified: 8422.40,BLADE STACKING FRAME ROOT WITH INTERFACT ROOT MADE OF 18 SECTIONS (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH INTERFACE TIP MADE OF 18 SECTIONS (6 LOW/UPPER PARTS)
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-09-02,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 UNT, ,255000 KG,16076000,Classified: 8422.40,"FIRMLY ATTACHED TO THE BLADES: BLADE STACKING FRAME ROOT WITH INTERFACE ROOT MADE OF 18 SECTIONS 6 LOWUPPER PARTS 7000. 00 X 3096. 00 X 8113. 00 CM BLADE STACKING FRAME TIP WITH INTERFACE TIP MADE OF 18 SECTIONS 6 LOW UPPER PARTS 7000, 00 X 3096, 00 X 8113, 00 CM"
Blades,Vineyard Wind 1,13,2024-09-02,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 UNT, ,309204 KG,3610000,Classified: 8412.90,GE WIND BLADES
Equipment for tranportation of blades,Revolution Wind,11,2024-09-11,Denmark,"Port Of Entry-New London, New London, Connecticut",-,102 PCS, ,69684 KG,681000,Classified: 8414.90,"6 PCS - ROOT BLADE FOOT NB12, 7560108478, 6 P CS - ROOT ADAPTOR CONNECTOR NB12 RIGHT 756010 8480, 6 PCS - ROOT ADAPTOR CONNECTOR NB12 LEF T 7560108482, 6 PCS - ROOT SUPPORT B81-NB12 ( RETRO B75, ASSY 7560108483, 12 PCS - TUBE SPA CER 5 NB12, 2 PCS 7560108484, 54 PCS - TUBE S PACER 3 NB12, 9 PCS 7560108486, 6 PCS - TIP C LAMP NB12, ASM, 6 PCS - B81-NB12 TIP LOWER SE CTION ASSY"
Equipment for tranportation of blades,Revolution Wind,11,2024-10-01,Denmark,"Port Of Entry-New London, New London, Connecticut",-,102 PCS, ,69682800 KG,21853000,Classified: 7325.99,"6 PCS - ROOT BLADE FOOT NB12 - 7560108487 6 PCS - ROOT ADAPTOR CONNECTOR NB 12 RIGHT - 7560108489 6 PCS - ROOT ADAPTOR CONNECTOR NB 12 LEFT - 7 560108490 6 PCS - ROOT SUPPORT B81-NB12 (RETRO B75), AS SY - 7560108492 12 PCS - TUBE SPACER 5 NB12, 2 PCS - 75601084 93 54 PCS - TUBE SPACER 5 NB12, 9 PCS - 75601084 94 6 PCS - TIP CLAMP NB 12, ASM 6 PCS - B81-NB12 TIP LOWER SECTION, ASSY"
Blades,Revolution Wind,11,2024-10-01,United States,"Port Of Entry-New London, New London, Connecticut",6,6 PCS, ,258000 KG,1455000,Classified: 8208.40,BLADE B97-01 K01 7035 LEP 2. 1 (21+0)M
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-10-01,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929871 CM,229800 K,14487000,Classified: 8422.40,BLADE STACKING FRAME ROOT WITH INTERFACE ROOT MADE OF 18 SECTIONS (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH INTERFACE TIP MADE OF 18 SECTIONS (6 LOW/UPPER PARTS)
Blades,Vineyard Wind 1,13,2024-10-01,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,309204 K,3610000,Classified: 8412.90,LM 107. 0 P2 W/ 30MM STIFF PLT GE WIND BLADES
